TYPE_NAME=Organization;KEYS=Name,Description,www;
Name;Description;www
Организация 1;Организация 1;http://www.org.ru
Организация 2;Организация 2;http://www.org.ru
Организация 3;Организация 3;http://www.org.ru
Организация 4;Организация 4;http://www.org.ru
Организация 5;Организация 5;http://www.org.ru
Организация 6;;http://www.org.ru
Организация 7;Организация 7;http://www.org.ru
Организация 8;Организация 8;
Организация 9;_;http://www.org.ru
Организация.с.точкой;Организация.с.точкой;http://www.org.ru
Организация с ' апострофом;Организация с ' апострофом;http://www.org.ru
Организация\\со слэшом;Организация\\со слэшом;http://www.org.ru
