TYPE_NAME=Occa_Occasion_Qualifier;KEYS=Occasion,Qualifier
Occasion;Qualifier
"name=""День работника нефтяной, газовой и топливной промышленности""";"name=""Нефтяная, газовая и топливная промышленность"""
"name=""День финансиста""";"name=""Финансовая деятельность"""
"name=""День гражданской обороны МЧС России""";"name=""Гражданская оборона, МЧС"""
"name=""День российского страховщика""";"name=""Страховая деятельность"""
"name=""День таможенника РФ""";"name=""Таможенное дело"""
"name=""День судебного пристава""";"name=""Таможенное дело"""
"name=""День сотрудника органов внутренних дел РФ""";"name=""Охрана правопорядка, МВД"""
"name=""День работников налоговых органов РФ""";"name=""Налоговая служба"""
"name=""День Энергетика""";"name=""Энергетика"""
"name=""День Строителя""";"name=""Стройиндустрия"""
"name=""День Защитника Отечества""";"name=""Мужской"""
"name=""Международный женский день""";"name=""Женский"""
"name=""День финансиста""";"name=""Группа ВТБ"""
"name=""День работника культуры""";"name=""Культура"""
"name=""Международный день кино""";"name=""Кинемотография"""
"name=""День российского кино""";"name=""Кинемотография"""
